City,Population
București,1883425
Cluj-Napoca,324576
Timișoara,319279
Iași,290422
Constanța,283872
Craiova,269506
Brașov,253200
Ploiești,209945
Oradea,196367
Brăila,180302
Arad,159074
Pitești,155383
Nagyszeben,147245
Bacău,144307
Târgu Mureș,134290
Baia Mare,123738
Buzău,115494
Botoșani,106847
Satu Mare,102411
Râmnicu Vâlcea,98776
